year,age,maritl,race,education,jobclass,health_ins,wage
2008,54,2. Married,1. White,3. Some College,1. Industrial,1. Yes,107.9039238669
2009,63,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,171.7651326275
2006,32,2. Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2007,42,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,49.5553381215
2007,45,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2009,34,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,152.8388009912
2005,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,176.9896504899
2005,36,1. Never Married,1. White,3. Some College,2. Information,1. Yes,123.0896998479
2003,34,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,90.4819133566
2005,24,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,72.1504556816
2003,20,1. Never Married,1. White,2. HS Grad,2. Information,2. No,61.187526434
2005,45,2. Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2006,18,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,75.0431540174
2009,40,5. Separated,1. White,1. < HS Grad,1. Industrial,2. No,75.0431540174
2003,38,2. Married,1. White,2. HS Grad,1. Industrial,2. No,104.0049599122
2006,20,1. Never Married,2. Black,2. HS Grad,2. Information,1. Yes,75.0431540174
2006,62,5. Separated,2. Black,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2006,47,2. Married,2. Black,2. HS Grad,2. Information,2. No,117.1468169148
2009,55,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2005,43,2. Married,1. White,2. HS Grad,1. Industrial,2. No,72.1504556816
2007,33,2. Married,1. White,3. Some College,1. Industrial,2. No,85.383940379
2003,62,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,268.2662920126
2008,39,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,145.1436011769
2003,41,1. Never Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,180.0301970762
2008,44,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,43.735111678
2004,56,2. Married,1. White,5. Advanced Degree,2. Information,2. No,163.5158639762
2008,58,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,73.1183069239
2009,50,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,186.876677628
2003,47,2. Married,1. White,3. Some College,1. Industrial,1. Yes,146.4628385151
2006,42,2. Married,1. White,2. HS Grad,2. Information,2. No,91.6992261117
2008,44,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,111.720849361
2009,62,2. Married,1. White,2. HS Grad,2. Information,1. Yes,109.8339856422
2003,44,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2006,48,2. Married,1. White,2. HS Grad,2. Information,1. Yes,111.1854619302
2008,52,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,154.6852929956
2007,29,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2009,51,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,82.6796372966
2003,34,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,81.2860772898
2004,35,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. No,63.1888610037
2006,46,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,90.4819133566
2004,40,2. Married,1. White,3. Some College,2. Information,1. Yes,87.9810327856
2009,36,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,77.4976813877
2004,48,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,127.1157438122
2003,43,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,
2004,37,1. Never Married,1. White,4. College Grad,2. Information,2. No,84.718389703
2005,50,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,97.4932940454
2005,42,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,101.8243520757
2005,48,2. Married,1. White,2. HS Grad,1. Industrial,2. No,94.0727147457
2008,41,2. Married,1. White,3. Some College,1. Industrial,2. No,108.8745258347
2006,50,2. Married,1. White,3. Some College,1. Industrial,1. Yes,176.9896504899
2009,44,2. Married,2. Black,3. Some College,1. Industrial,2. No,104.9235317007
2006,56,5. Separated,3. Asian,4. College Grad,2. Information,2. No,99.6894636985
2005,41,2. Married,2. Black,1. < HS Grad,1. Industrial,1. Yes,130.9821773775
2005,32,2. Married,1. White,3. Some College,2. Information,1. Yes,117.1468169148
2004,48,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,130.9821773775
2003,52,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,134.7053751189
2004,43,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,163.5158639762
2003,19,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,27.1405792079
2009,53,2. Married,1. White,1. < HS Grad,2. Information,2. No,68.076428289
2005,49,2. Married,2. Black,3. Some College,1. Industrial,1. Yes,117.1468169148
,41,2. Married,1. White,3. Some College,1. Industrial,1. Yes,127.1157438122
2005,44,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.5567764151
2004,58,2. Married,1. White,4. College Grad,2. Information,1. Yes,272.2947832201
2007,42,2. Married,1. White,3. Some College,,1. Yes,98.5993438604
2009,22,2. Married,1. White,3. Some College,1. Industrial,2. No,32.3664131749
2009,51,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.01975334
2004,40,2. Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2003,56,2. Married,1. White,2. HS Grad,2. Information,1. Yes,134.7053751189
2005,56,2. Married,1. White,2. HS Grad,1. Industrial,2. No,97.4932940454
2009,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,267.9010868553
2004,36,2. Married,1. White,4. College Grad,2. Information,1. Yes,94.654020382
2009,35,2. Married,1. White,3. Some College,1. Industrial,1. Yes,131.6218030331
2003,22,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,54.5981500331
2004,32,2. Married,1. White,4. College Grad,2. Information,1. Yes,84.045957654
2009,59,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,171.7651326275
2003,44,2. Married,1. White,2. HS Grad,2. Information,1. Yes,91.6992261117
2006,31,2. Married,1. White,2. HS Grad,1. Industrial,2. No,66.2294082944
2005,27,2. Married,2. Black,1. < HS Grad,1. Industrial,2. No,66.2294082944
2008,28,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,82.6796372966
2006,61,1. Never Married,1. White,5. Advanced Degree,1. Industrial,2. No,82.6796372966
,52,2. Married,1. White,3. Some College,1. Industrial,1. Yes,118.8843593399
2005,49,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,105.9278107751
2007,26,2. Married,1. White,2. HS Grad,1. Industrial,2. No,99.6894636985
2009,31,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,127.1157438122
2009,32,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,91.6992261117
2009,54,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2008,35,2. Married,1. White,3. Some College,1. Industrial,1. Yes,96.3706528322
2006,58,2. Married,1. White,4. College Grad,2. Information,1. Yes,134.7053751189
2006,47,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2006,53,2. Married,1. White,3. Some College,2. Information,1. Yes,89.2428846645
2003,70,2. Married,1. White,2. HS Grad,1. Industrial,2. No,
2009,49,2. Married,1. White,3. Some College,2. Information,1. Yes,104.9215065337
2005,47,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,143.3253181088
2008,23,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,61.5945831752
2003,24,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
2006,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,69.9291272064
2008,35,2. Married,2. Black,3. Some College,2. Information,1. Yes,123.0896998479
2003,23,1. Never Married,1. White,3. Some College,1. Industrial,2. No,35.0334213215
2009,51,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,79.8549003093
2003,60,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,268.2662920126
2005,41,4. Divorced,4. Other,3. Some College,2. Information,1. Yes,117.1468169148
2006,45,2. Married,2. Black,4. College Grad,1. Industrial,1. Yes,99.6894636985
2003,51,4. Divorced,1. White,1. < HS Grad,1. Industrial,1. Yes,87.9810327856
2007,26,2. Married,1. White,2. HS Grad,2. Information,2. No,73.7757432747
2009,27,1. Never Married,,2. HS Grad,2. Information,1. Yes,104.9215065337
2009,51,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,128.6804882206
2006,30,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,127.1157438122
2007,43,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,167.7065755526
2008,46,1. Never Married,2. Black,4. College Grad,1. Industrial,1. Yes,120.5894365304
,30,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,95.230712567
2007,40,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2004,37,2. Married,2. Black,4. College Grad,2. Information,1. Yes,104.9215065337
2004,40,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. No,166.3249412339
2003,45,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,176.9896504899
2005,32,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,114.4757132903
2004,43,1. Never Married,1. White,3. Some College,2. Information,1. Yes,91.6992261117
2005,55,2. Married,1. White,3. Some College,1. Industrial,1. Yes,118.8843593399
2004,56,4. Divorced,1. White,4. College Grad,1. Industrial,1. Yes,85.383940379
2004,32,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,84.045957654
2003,43,2. Married,1. White,2. HS Grad,1. Industrial,2. No,73.7757432747
2008,50,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2008,38,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,276.7784133212
2009,69,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,40.4056652597
2008,45,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,109.8339856422
2004,49,2. Married,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2006,29,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,99.6894636985
2006,27,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,106.9218140912
,48,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,160.6424754083
2003,60,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,35.0334213215
2005,35,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,89.492479518
2009,52,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,119.7425562899
2004,59,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,182.0206209635
2003,58,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,97.4932940454
2007,35,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.8843593399
2005,31,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,73.7757432747
2003,48,5. Separated,2. Black,2. HS Grad,2. Information,2. No,95.230712567
2007,31,2. Married,3. Asian,4. College Grad,2. Information,2. No,134.7053751189
2004,52,2. Married,1. White,2. HS Grad,2. Information,1. Yes,128.6804882206
2003,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,98.5993438604
2004,34,1. Never Married,1. White,2. HS Grad,2. Information,2. No,79.8549003093
2007,26,1. Never Married,2. Black,4. College Grad,1. Industrial,1. Yes,
2008,50,2. Married,1. White,4. College Grad,1. Industrial,2. No,82.6796372966
2008,38,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,129.4536445766
2003,39,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,78.2145756932
2005,45,2. Married,1. White,2. HS Grad,2. Information,2. No,87.9810327856
2003,56,4. Divorced,1. White,4. College Grad,1. Industrial,2. No,109.8339856422
2006,34,2. Married,1. White,2. HS Grad,1. Industrial,2. No,56.9055391447
2006,48,2. Married,3. Asian,4. College Grad,2. Information,2. No,141.7751723332
2006,53,1. Never Married,1. White,3. Some College,2. Information,2. No,99.6894636985
,38,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,92.6581301669
2003,65,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,73.7757432747
2004,24,1. Never Married,1. White,4. College Grad,2. Information,2. No,94.0727147457
2006,45,2. Married,,3. Some College,2. Information,1. Yes,114.4757132903
2006,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,108.0658303097
2005,22,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,72.1504556816
2008,60,2. Married,3. Asian,3. Some College,2. Information,1. Yes,127.1157438122
2005,41,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,128.6804882206
2003,50,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,91.6992261117
2003,40,1. Never Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,102.8702469332
2006,54,4. Divorced,1. White,3. Some College,2. Information,2. No,90.4819133566
2006,30,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2003,58,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,87.9810327856
2008,60,2. Married,2. Black,1. < HS Grad,1. Industrial,2. No,93.0534873611
2008,33,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,134.7053751189
2004,41,2. Married,1. White,2. HS Grad,2. Information,2. No,92.8958447895
2007,55,3. Widowed,1. White,4. College Grad,1. Industrial,1. Yes,127.1157438122
2007,49,2. Married,1. White,2. HS Grad,1. Industrial,2. No,
2007,53,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,92.8958447895
2008,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,107.9039238669
2004,58,2. Married,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2004,45,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,150.0132862827
2009,59,3. Widowed,2. Black,2. HS Grad,2. Information,1. Yes,104.9215065337
2005,47,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,87.9810327856
2007,31,2. Married,3. Asian,2. HS Grad,1. Industrial,2. No,81.2832532843
2004,61,2. Married,1. White,3. Some College,1. Industrial,1. Yes,106.7239776253
2007,42,2. Married,1. White,3. Some College,1. Industrial,1. Yes,109.8339856422
2005,,2. Married,1. White,2. HS Grad,1. Industrial,2. No,84.045957654
2004,24,1. Never Married,1. White,4. College Grad,2. Information,2. No,70.4760196469
2008,34,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,118.8843593399
2009,65,4. Divorced,2. Black,2. HS Grad,1. Industrial,2. No,87.9810327856
2006,22,1. Never Married,1. White,2. HS Grad,2. Information,2. No,99.6894636985
2003,30,1. Never Married,1. White,3. Some College,1. Industrial,2. No,84.045957654
2005,29,2. Married,2. Black,3. Some College,2. Information,1. Yes,87.9810327856
2009,38,4. Divorced,1. White,3. Some College,1. Industrial,2. No,109.8339856422
2005,33,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,73.7757432747
2009,58,2. Married,1. White,2. HS Grad,1. Industrial,2. No,85.383940379
2005,46,1. Never Married,2. Black,4. College Grad,,1. Yes,104.9215065337
2007,76,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,76.8936025176
2004,40,2. Married,1. White,3. Some College,1. Industrial,1. Yes,136.8763676352
2009,32,1. Never Married,1. White,3. Some College,2. Information,1. Yes,115.3750385564
2008,35,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. No,65.1108537153
2004,46,2. Married,1. White,4. College Grad,2. Information,1. Yes,185.2833170885
2005,19,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,31.4109962716
2007,32,1. Never Married,1. White,2. HS Grad,,1. Yes,89.492479518
2006,32,1. Never Married,1. White,3. Some College,1. Industrial,2. No,56.9055391447
2008,23,2. Married,1. White,2. HS Grad,1. Industrial,2. No,78.3465619953
2008,21,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,84.045957654
2003,21,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,63.1888610037
2009,36,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,267.9010868553
2003,55,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,142.634472768
2009,56,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2003,26,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,268.2662920126
2006,29,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,109.8339856422
2003,74,3. Widowed,2. Black,4. College Grad,2. Information,2. No,70.4760196469
2008,71,2. Married,1. White,2. HS Grad,1. Industrial,2. No,99.6916283971
2003,35,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,144.4780876654
2006,47,2. Married,1. White,3. Some College,1. Industrial,1. Yes,150.0704769094
2004,52,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,133.9715000707
2005,32,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2004,20,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,82.6796372966
2006,49,1. Never Married,2. Black,4. College Grad,1. Industrial,1. Yes,141.7751723332
2004,29,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,61.187526434
2004,46,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,99.6894636985
2008,40,2. Married,1. White,2. HS Grad,2. Information,1. Yes,130.9821773775
2004,32,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,70.4760196469
2006,34,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2006,48,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,81.6984217247
2003,57,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,130.9821773775
2008,55,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,127.1157438122
2003,38,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,101.8243520757
2003,37,2. Married,1. White,3. Some College,2. Information,1. Yes,111.720849361
2005,32,1. Never Married,1. White,3. Some College,2. Information,1. Yes,86.1737867271
2004,55,2. Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2009,50,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,92.8958447895
2003,35,5. Separated,1. White,1. < HS Grad,2. Information,2. No,62.1986794303
2004,40,2. Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
